,Or1a,Or2a,Or7a,Or13a,Or22c,Or24a,Or30a,Or33b,Or35a,Or42a,Or42b,Or45a,Or45b,Or47a,Or49a,Or59a,Or67b,Or74a,Or82a,Or83a,Or85c
1-butanol,0.17714285714285713,0.20285714285714285,0.47714285714285715,0.18285714285714286,0.18285714285714286,0.21714285714285714,0.18285714285714286,0.1657142857142857,0.5714285714285714,0.4,0.18,0.3314285714285714,0.2914285714285714,0.21142857142857144,0.22285714285714286,0.21714285714285714,0.6285714285714286,0.2257142857142857,0.24571428571428572,0.16571428571428571,0.22857142857142856
1-hexanol,0.21142857142857144,0.2257142857142857,0.36,0.5057142857142857,0.2257142857142857,0.21428571428571427,0.18285714285714286,0.15142857142857144,0.6485714285714286,0.5685714285714286,0.26571428571428574,0.4257142857142857,0.24571428571428572,0.22285714285714286,0.26571428571428574,0.2,0.7685714285714286,0.5,0.28285714285714286,0.16571428571428571,0.6742857142857143
1-octen-3-ol,0.22857142857142856,0.24,0.2542857142857143,0.6142857142857143,0.1742857142857143,0.2,0.16,0.15428571428571428,0.38571428571428573,0.22857142857142856,0.13142857142857142,0.3171428571428571,0.22857142857142856,0.3142857142857143,0.24857142857142858,0.2,0.3171428571428571,0.24571428571428572,0.2914285714285714,0.16571428571428571,0.7085714285714285
1-heptanol,0.20285714285714285,0.21142857142857144,0.15142857142857144,0.2914285714285714,0.12571428571428572,0.13714285714285715,0.15714285714285714,0.15142857142857144,0.6085714285714285,0.27714285714285714,0.1457142857142857,0.5657142857142857,0.23142857142857143,0.21428571428571427,0.25142857142857145,0.22285714285714286,0.6485714285714286,0.5542857142857143,0.2257142857142857,0.16571428571428571,0.74
3-octanol,0.25142857142857145,0.2571428571428571,0.16285714285714287,0.5514285714285714,0.12571428571428572,0.16,0.17142857142857143,0.15142857142857144,0.4142857142857143,0.2571428571428571,0.2885714285714286,0.37714285714285717,0.18857142857142858,0.4542857142857143,0.24857142857142858,0.26857142857142857,0.23142857142857143,0.23142857142857143,0.22857142857142856,0.16571428571428571,0.8428571428571429
1-nonanol,0.1657142857142857,0.19428571428571428,0.13428571428571429,0.12,0.13714285714285715,0.16,0.17714285714285713,0.18,0.16285714285714287,0.14,0.13714285714285715,0.42,0.17142857142857143,0.11714285714285715,0.16857142857142857,0.18285714285714286,0.1742857142857143,0.58,0.18,0.16571428571428571,0.12857142857142856
ethyl acetate,0.15714285714285714,0.21142857142857144,0.24,0.14285714285714285,0.14285714285714285,0.19428571428571428,0.17142857142857143,0.1742857142857143,0.16857142857142857,0.8657142857142858,0.7885714285714286,0.26857142857142857,0.2,0.4,0.18857142857142858,0.28,0.21142857142857144,0.21142857142857144,0.2,0.16571428571428571,0.18857142857142858
propyl acetate,0.1742857142857143,0.21428571428571427,0.24571428571428572,0.17142857142857143,0.17714285714285713,0.18857142857142858,0.2,0.15714285714285714,0.37142857142857144,0.9285714285714286,0.7028571428571428,0.36857142857142855,0.2,0.56,0.20285714285714285,0.24857142857142858,0.2257142857142857,0.29714285714285715,0.21142857142857144,0.16571428571428571,0.38
pentyl acetate,0.22285714285714286,0.2714285714285714,0.2342857142857143,0.36857142857142855,0.1657142857142857,0.1457142857142857,0.17142857142857143,0.15142857142857144,0.4828571428571429,0.26,0.15428571428571428,0.6371428571428571,0.21714285714285714,0.6857142857142857,0.2542857142857143,0.2257142857142857,0.4742857142857143,0.24571428571428572,0.23142857142857143,0.16571428571428571,0.6742857142857143
isopentyl acetate,0.20285714285714285,0.3,0.16285714285714287,0.18,0.11428571428571428,0.12571428571428572,0.16285714285714287,0.15428571428571428,0.19142857142857142,0.44,0.16,0.33714285714285713,0.16285714285714287,0.46285714285714286,0.22857142857142856,0.22,0.23142857142857143,0.3028571428571429,0.22857142857142856,0.16571428571428571,0.6228571428571429
ethyl butyrate,0.15714285714285714,0.20285714285714285,0.22857142857142856,0.17142857142857143,0.16,0.1457142857142857,0.1657142857142857,0.24571428571428572,0.32857142857142857,0.8085714285714286,0.6942857142857143,0.29428571428571426,0.18857142857142858,0.2914285714285714,0.2057142857142857,0.21142857142857144,0.1742857142857143,0.21142857142857144,0.22857142857142856,0.16571428571428571,0.2542857142857143
octyl acetate,0.16,0.19428571428571428,0.18857142857142858,0.14857142857142858,0.14285714285714285,0.16,0.16285714285714287,0.16857142857142857,0.22857142857142856,0.12857142857142856,0.19142857142857142,0.88,0.1742857142857143,0.1742857142857143,0.16285714285714287,0.18571428571428572,0.17714285714285713,0.2914285714285714,0.22857142857142856,0.16571428571428571,0.15428571428571428
carbon dioxide,0.15428571428571428,0.15714285714285714,0.20857142857142857,0.17142857142857143,0.17142857142857143,0.17142857142857143,0.15428571428571428,0.16857142857142857,0.18285714285714286,0.24857142857142858,0.15714285714285714,0.26857142857142857,0.15428571428571428,0.15714285714285714,0.16857142857142857,0.1657142857142857,0.1657142857142857,0.23142857142857143,0.20857142857142857,0.16571428571428571,0.19428571428571428
